Count,NAME,CODE,API_KEY,RESULT_FILE,UPDATE_CYCLE,MIN,MAX,LAST_UPDATE,Error_Check
1,17.1.16 국내총생산_한국_ ,I05Y004/KOR,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,YY,649.0,14110.0,2017,
2,17.1.13 산업생산지수(계절변동조정)_한국_ ,I05Y001/KOR,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,51.6,168.9,201702,
3,9.1.1.1 전국실적_전 산 업_업황실적,041Y013/99988/AA,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,51.0,95.0,201702,
4,17.1.8 소비자물가지수_한국 _ ,I02Y002/KOR,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,21.262,111.48,201702,
5,16.거시경제분석 지표_근원인플레이션율_ ,901Y001/AI1BC,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,-0.347534,30.47,201702,
6,17.1.14 실업률(계절변동조정)_한국_ ,I05Y002/KOR,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,3.0,5.2,201702,
7,17.1.10 경상수지_한국_ ,I03Y003/KOR,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,YY,3189.7,105870.7,2017,
8,17.1.15 경제성장률_한국_ ,I05Y003/KOR,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,YY,-5.5,13.2,2017,
9,15.4.6 건축허가현황_연면적_철근 및 철골,080Y118/1,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,0.0,27030.0,201702,
10,15.3.6 기계수주액_총수주액_ ,080Y015/I351,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,1610895.0,14895263.0,201702,
11,15.5.2 소매업태별 판매액지수_총지수_경상지수,085Y074/I74A,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,32.8,135.3,201702,
12,8.4.1 수출금액지수_총지수_ ,099Y001/A,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,11.08,135.31,201702,
13,8.4.3 수입금액지수_총지수_ ,099Y003/A,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,10.05,130.75,201702,
14,16.거시경제분석 지표_WTI 현물유가등락률_ ,901Y001/AI1BG,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,-56.0,149.1,201702,
15,"15.6.6 산업별 근로일수 및 근로시간, 임금총액(5인이상)_C. 제조업(10~33)_전체임금총액",080Y126/I72AB/I72BI,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,QQ,2520139.0,3988066.0,20170,
16,17.1.5 주요국제금리_재무부증권(5년)(미국)_ ,I01Y005/TN5USA,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,0.581,16.27,201702,
17,14.2.신용위험_국내은행-차주가중종합지수_ ,093Y002/BB,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,QQ,-3.0,44.0,20170,
18,"15.6.8 노동생산성지수_노동생산성지수_광공업(전기,가스,수도업 포함)",085Y162/A,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,QQ,74.19568,136.52174,20170,
19,15.6.1 경제활동인구_고용률_원계열,080Y034/I61E,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,56.1,61.2,201702,
20,15.6.1 경제활동인구_경제활동참가율_원계열,080Y034/I61D,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,59.0,63.5,201702,
21,15.6.9 단위노동비용지수_제조업_ ,085Y063/A70A,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,QQ,91.3,149.7,20170,
22,15.6.12 지니계수_처분가능소득_전체가구,080Y038/I38B/I38A,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,YY,0.295,0.314,2017,
23,3.6.2 예금취급기관의 가계대출(월별)_예금취급기관_ ,008Y002/1110000,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,317095.4,903488.8,201702,
24,3.6.1 가계신용(분기별)_가계신용_ ,008Y001/1000000,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,QQ,463330.4,1295753.1,20170,
25,15.5.1 산업별 서비스업생산지수_총지수_경상지수,080Y119/I51A/1,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,48.4,135.8,201702,
26,17.1.19 총저축률_한국_ ,I05Y007/KOR,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,YY,24.9,41.7,2017,
27,15.3.8 제조업 재고율지수_제조업_ ,080Y033/I33A,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,93.4,174.2,201702,
28,17.1.11 외환보유액_한국_ ,I04Y001/KOR,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,4701.747,377770.0,201702,
29,8.8.1.1 주요국통화의 대원화 환율_원/미국달러(매매기준율)_ ,036Y001/0000001,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,DD,484.0,1964.8,20170204,
30,8.8.1.1 주요국통화의 대원화 환율_원/유로_ ,036Y001/0000003,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,DD,913.18,2188.79,20170204,
31,8.8.1.1 주요국통화의 대원화 환율_원/일본엔(100엔)_ ,036Y001/0000002,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,DD,202.09,1620.76,20170204,
32,8.8.1.1 주요국통화의 대원화 환율_원/위안(매매기준율)_ ,036Y001/0000053,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,DD,163.81,189.53,20170204,
33,8.8.1.1 주요국통화의 대원화 환율_원/영국파운드_ ,036Y001/0000012,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,DD,891.59,3272.77,20170204,
34,"1.2.1.2 본원통화 구성내역(말잔,원계열)_본원통화(말잔,원계열)_ ",054Y007/ABA2,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,30286.7,144308.9,201702,
35,1.1.주요 통화금융지표_계절조정M2(말잔)_ ,010Y002/AAAA1J,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,9385.1,2407526.1,201702,
36,6.3.채권거래_상장채권거래대금_채권계,028Y022/2040000/1,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,49021.0,519958392.0,201702,
37,,028Y012/BFAA522,,,,,,,
38,3.7.1 예금은행 예금회전율_ 당좌예금_ ,011Y001/BDFA11,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,58.3,1607.7,201702,
39,16.거시경제분석 지표_소비자물가등락률_ ,901Y001/AI1BB,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,0.168257,32.51,201702,
40,15.1.4 경기종합지수_선행지수순환변동치_ ,085Y026/I16E,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,92.1,105.1,201702,
41,2.6.한국은행 기준금리 및 여수신금리_한국은행 기준금리_ ,098Y001/0101000,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,DD,1.25,5.25,20170204,
42,"4.1.1 시장금리(일별)_회사채(3년,AA-)_ ",060Y001/010300000,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,DD,1.628,31.11,20170204,
43,4.1.1 시장금리(일별)_CD(91일)_ ,060Y001/010502000,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,DD,1.34,25.0,20170204,
44,4.1.1 시장금리(일별)_국고채(3년)_ ,060Y001/010200000,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,DD,1.203,9.78,20170204,
45,"4.1.1 시장금리(일별)_콜금리(익일물, 전체거래)_ ",060Y001/010101000,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,DD,1.16,27.15,20170204,
46,4.1.1 시장금리(일별)_KORIBOR(3개월)_ ,060Y001/010150000,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,DD,1.27,6.14,20170204,
47,15.1.4 경기종합지수_동행종합지수_ ,085Y026/I16B,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,16.1,123.3,201702,
48,15.1.4 경기종합지수_선행종합지수_ ,085Y026/I16A,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,13.2,128.8,201702,
49,15.1.4 경기종합지수_동행지수순환변동치_ ,085Y026/I16D,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,93.0,105.2,201702,
50,8.4.5 교역조건지수_소득교역조건지수_ ,099Y005/B,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,17.75,150.4,201702,
51,8.4.5 교역조건지수_순상품교역조건지수_ ,099Y005/A,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,84.56,235.79,201702,
52,7.1.1 생산자물가지수(기본분류)(2010=100)_총지수_ ,013Y202/A,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,33.4237,108.97,201702,
53,15.6.10 시간당 명목임금지수_제조업_ ,085Y090/A10004,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,QQ,84.3,143.7,20170,
54,,085Y162/A/170B,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,,,,20170,-9.0
55,,080Y035/I35A,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,,,,201702,-9.0
56,16.거시경제분석 지표_고용률_ ,901Y001/AI1AK,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,56.1,61.2,201702,
57,15.6.1 경제활동인구_경제활동참가율_원계열,080Y034/I61D,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,59.0,63.5,201702,
58,15.6.9 단위노동비용지수_제조업_ ,085Y063/A70A,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,QQ,91.3,149.7,20170,
59,3.6.2 예금취급기관의 가계대출(월별)_주택담보대출_ ,008Y002/11100A0,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,292436.5,557182.1,201702,
60,3.6.1 가계신용(분기별)_여신전문기관_ ,008Y001/1210000,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,QQ,23392.4,66993.5671,20170,
61,15.1.2 전산업생산지수(농림어업제외)_서비스업_생산지수(계절조정),080Y102/AC00/2,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,65.1,116.9,201702,
62,15.3.8 제조업 재고율지수_제조업_ ,080Y033/I33A,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,93.4,174.2,201702,
63,16.거시경제분석 지표_외환보유액_ ,901Y001/AI1DC,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,4701747.0,377770474.0,201702,
64,17.1.6 주가지수_미국_ ,I01Y006/USA,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,785.75,19762.6,201702,
65,17.1.6 주가지수_일본_ ,I01Y006/JPN,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,6556.19,38915.87,201702,
66,17.1.6 주가지수_중국_ ,I01Y006/CHN,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,24.442,494.576,201702,
67,17.1.6 주가지수_유로지역_ ,I01Y006/EMU,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,741.84,3858.15,201702,
68,17.1.5 주요국제금리_페더럴펀드 금리(미국)_ ,I01Y005/FFRUSA,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,0.25,20.0,201702,
69,17.1.5 주요국제금리_재무부증권(90일)(미국)_ ,I01Y005/TBUSA,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,-0.0203,15.52,201702,
70,17.1.5 주요국제금리_재무부증권(5년)(미국)_ ,I01Y005/TN5USA,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,0.581,16.27,201702,
71,17.1.5 주요국제금리_재무부증권(10년)(미국)_ ,I01Y005/TN10USA,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,1.468,5.4,201702,
72,17.1.5 주요국제금리_재무부증권(2년)(미국)_ ,I01Y005/TN2USA,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,0.2,16.74,201702,
